C:\ProgramData\Miniconda3\Scripts>python D:\Chatbot-VN\chatbot-vn\chatbot.py --mode train
Data ready!
Bucketing conversation number 9999
Bucketing conversation number 19999
Bucketing conversation number 9999
Bucketing conversation number 19999
Bucketing conversation number 29999
Bucketing conversation number 39999
Bucketing conversation number 49999
Number of samples in each bucket:
 [53399]
Bucket scale:
 [1.0]
Initialize new model
Create placeholders
Create inference
Creating loss...
It might take a couple of minutes depending on how many buckets you have.
Time: 3.7261404991149902
Create optimizer...
It might take a couple of minutes depending on how many buckets you have.
Creating opt for bucket 0 took 9.445972442626953 seconds
Running session
Initializing fresh parameters for the Chatbot
Iter 30: loss 7.615609661738078, time 1.4375762939453125
Iter 60: loss 6.076650269826254, time 1.7188403606414795
Iter 90: loss 5.272959343592325, time 1.4688284397125244
Iter 200: loss 5.445154147148132, time 1.468825101852417
Iter 300: loss 4.7797968244552616, time 1.4688262939453125
Iter 400: loss 4.6977111339569095, time 1.437577724456787
Iter 500: loss 4.657936906814575, time 1.4532012939453125
Iter 600: loss 4.636785764694213, time 1.4688222408294678
Iter 700: loss 4.612345714569091, time 1.4531993865966797
Iter 800: loss 4.583374643325806, time 1.4219512939453125
Iter 900: loss 4.582467827796936, time 1.4531967639923096
Iter 1000: loss 4.570662937164307, time 1.453197956085205
Test bucket 0: loss 4.507087707519531, time 0.7031614780426025
Iter 1100: loss 4.559351830482483, time 1.453202486038208
Iter 1200: loss 4.556813378334045, time 1.4688222408294678
Iter 1300: loss 4.55094437122345, time 1.4688236713409424
Iter 1400: loss 4.522842693328857, time 1.4375686645507812
Iter 1500: loss 4.526983227729797, time 1.4375662803649902
Iter 1600: loss 4.505775384902954, time 1.4532020092010498
Iter 1700: loss 4.514419946670532, time 1.4375722408294678
Iter 1800: loss 4.5014752006530765, time 1.4375760555267334
Iter 1900: loss 4.507616472244263, time 1.45320463180542
Iter 2000: loss 4.486028962135315, time 1.4219560623168945
Test bucket 0: loss 4.514650344848633, time 0.37502002716064453
Iter 2100: loss 4.505935616493225, time 1.453202486038208
Iter 2200: loss 4.4827665424346925, time 1.4531939029693604
